url,title,date,content
https://www.inoriminase.com/news/?id=34,【イベント出演情報】政宗くんのイベント～食欲の愛姫～,2017-02-01,TVアニメ「政宗くんのリベンジ」のスペシャルイベント、 『政宗くんのイベント～食欲の愛姫～』が開催されることが決定しました！ ■日程 2017年11月12日(日) 昼・夜2回公演 ■会場 ニッショーホール(東京：虎の門) ■内容 出演者によるトークショー他 ■出演者 安達垣愛姫 役：大橋彩香さん／小岩井吉乃 役：水瀬いのり／藤ノ宮寧子 役：三森すずこさん／双葉 妙 役：田所あずささん／朱里小十郎 役：早見沙織さん 予定 ＊都合により出演者の変更がある場合がございます。予めご了承ください。 ◆対象巻 【昼の部】 2017年3月22日(水)発売のBlu-ray&DVD 第1巻封入のイベントチケット優先販売申込券 【夜の部】 2017年4月26日(水)発売のBlu-ray&DVD 第2巻封入のイベントチケット優先販売申込券 ※こちらのイベントには2017年3月22日(水)発売のBlu-ray&DVD第1巻に昼の部、 4月26日発売のBlu-ray&DVD第2巻に夜の部のイベントチケット優先販売申込み券が封入されます。 http://masamune-tv.com/news/453
https://www.inoriminase.com/news/?id=54,【イベント出演情報】COMCHA FES 2017 in 野音,2017-02-26,■イベントタイトル 「COMCHA FES 2017 in 野音」 ■開催日時 2017年5月14日(日) 16:00開場/17:00開演 ※20:00終演予定 ■会場 日比谷野外大音楽堂 ■出演者 櫻井孝宏、井口裕香 ■ゲスト GARNiDELiA、下野 紘さん、鈴村健一さん、水瀬いのり、May'nさん（50音順） ■料金 税込￥6，800(指定・3歳以上有料) ■チケット販売情報 番組公式ホームページ最速先行予約受付中 2月25日(土)24:00～3月13日(月)18:00まで 公式サイト： http://www.joqr.co.jp/comcha/
https://www.inoriminase.com/news/?id=56,​【イベント出演情報】AnimeJapan 2017,2017-02-10,【 TVアニメ｢ご注文はうさぎですか？？」 】 ■ステージ詳細 3月25日(土) REDステージ(13:35～) ■出演者 水瀬いのり、徳井青空さん、村川梨衣さん(予定) http://www.gochiusa.com/news/hp0001/index04860000.html 【 TVアニメ「ソード・オラトリア」 】 ■ステージ詳細 3月25日(土) GREENステージ(09:20～) ■出演者 大西沙織さん(アイズ・ヴァレンシュタイン 役)、木村珠莉さん(レフィーヤ・ウィリディス 役)、村川梨衣さん(ティオナ・ヒリュテ 役)、高橋未奈美さん(ティオネ・ヒリュテ 役)、久保ユリカさん(ロキ 役)、水瀬いのり(ヘスティア 役)、井口裕香さん(オープニング主題歌アーティスト) http://danmachi.com/information/index.html#news03 【 TVアニメ「Re:CREATORS」 】 ■ステージ詳細 3月26日(日) GREENステージ(9:20～10:00) ■出演者 山下大輝さん(水篠颯太 役)、小松未可子さん(セレジア・ユピティリア 役)、水瀬いのり(メテオラ・エスターライヒ 役)、豊崎愛生さん(軍服の姫君 役) http://recreators.tv/news/?id=41744
https://www.inoriminase.com/news/?id=57,【イベント出演情報】「Re:CREATORS」先行上映会,2017-02-23,2017年4月より放送開始、アニメ「Re:CREATORS」の先行上映会へ出演することが決定しました！ ■イベント 「Re:CREATORS」先行上映会 ■日時 2017年4月2日(日) 東京会場 13:30 開演予定 大阪会場 18:30 開演予定 ■場所 東京会場（都内某所） 大阪会場（市内某所） ■登壇 小松未可子さん(セレジア・ユピティリア 役) 水瀬いのり(メテオラ・エスターライヒ 役) ■応募期間 2月18日(土) 18:00 ～ 3月17日(金) 23:59 http://recreators.tv/form/advance_screening.html
https://www.inoriminase.com/news/?id=59,​【観覧募集のご案内】ライブB♪,2017-03-03,TBSの音楽番組「ライブB♪」への出演決定に伴い、番組観覧者の募集を行います！ 【申込期間】 ～2017年3月5日(日)23:59まで ※観覧募集の申し込みは、水瀬いのり公式モバイルサイト「しあわせいのりまち」に入会されている方が対象となります。 ※その他、募集要項、注意事項など詳細はこちらから！ 水瀬いのり公式モバイルサイト「しあわせいのりまち」
https://www.inoriminase.com/news/?id=60,【動画公開】「春空」試聴,2017-03-05,「春空」試聴動画はこちら！ ★水瀬いのり YouTube Official Channel
https://www.inoriminase.com/news/?id=61,水瀬いのり OFFICIAL WEB SITEオープン,2017-03-05,本日、水瀬いのりのオフィシャルウェブサイトがオープンしました！ 最新情報、プロフィール、ディスコグラフィなどはこちらでチェック！
https://www.inoriminase.com/news/?id=62,「Innocent flower」オリジナル特典決定,2017-03-06,1stアルバム「Innocent flower」の各チェーンオリジナル特典が決定いたしました。 詳細はキングレコードオフィシャルサイトでご確認下さい。 http://www.kingrecords.co.jp/cs/t/t9581/
https://www.inoriminase.com/news/?id=63,【イベント出演情報】ラジオ「政宗くんのリベンジ」～あやか・いのりの公録は豚足の始まり～,2017-03-10,■イベント名 ラジオ「政宗くんのリベンジ」～あやか・いのりの公録は豚足の始まり～ ■開催日時 2017年4月1日(土) [OPEN] 14:30 / [START] 15:00 / [END] 16:00(予定) ■会場 13式催事空間 東京都千代田区外神田3-15-5 ジーストア・アキバ5階 ■出演 大橋彩香さん(安達垣愛姫 役) 水瀬いのり(小岩井吉乃 役) ■入場料 無料 【参加方法】 音泉通販サイト「音mart」にて「イベント参加抽選権付き」と書かれた対象商品を購入の方の中から抽選でご招待。 [応募期間] 2017年3月8日(水) ～ 3月20日(月)23:59 [当選発表] 2017年3月22日(水) ※応募期間中にご入金が完了した方が対象となります。 ※代引きでの購入は対象外となります。 【対象商品】 ラジオCD「政宗くんのリベンジ」～あやか・いのりのラジオは豚足の始まり～Vol.1 （CD2枚組・3，000円＋税） 発売日：2017年3月29日(水) 商品ページ http://www.otomart.jp/SHOP/TBZR-0827E.html 【注意事項】 ・会場までの往復の交通費はご来場者の自己負担となります。 ・当日の様子（来場者の発言・容姿を含む。）は、報道各社による取材・報道等の対象となるため、出版物・webサイト等において掲載・配信等されることがあります。 ・お客様からご提供いただいた個人情報につきましては、抽選・発送・運営のみに使用し、会期後は速やかに破棄させて頂きます。 ・天候や災害などで、止むを得ず企画の続行が難しくなった場合は、イベントを中止させていただく可能性がございます。 公式サイト http://www.onsen.ag/program/tonsoku/
https://www.inoriminase.com/news/?id=65,【動画公開】「Innocent flower」TV-CM、「春空」MUSIC VIDEO公開！,2017-03-18,「Innocent flower」TV-CMと、「春空」MUSIC VIDEOを公開しました！ 【「Innocent flower」TV-CM】 【「春空」MUSIC VIDEO】 ★水瀬いのり YouTube Official Channel
